Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
25791216,"Penric's Demon (Penric and Desdemona, #1)",Lois McMaster Bujold,"Bujold, Lois McMaster",,"=""""","=""""",3,4.26,,Kindle Edition,109,2015,2015,,2015/07/21,,,read,,,,,,,0,,,,,
337008,"Humans (Neanderthal Parallax, #2)",Robert J. Sawyer,"Sawyer, Robert J.",,"=""0765346753""","=""9780765346759""",2,3.81,Tor Books,Paperback,334,2003,2003,,2015/07/14,,,read,,,,,,,0,,,,,
264946,"Hominids (Neanderthal Parallax, #1)",Robert J. Sawyer,"Sawyer, Robert J.",,"=""0765345005""","=""9780765345004""",3,3.77,Tor Books,Paperback,444,2003,2002,,2015/07/14,,,read,,,,,,,0,,,,,
116413,The Chronoliths,Robert Charles Wilson,"Wilson, Robert Charles",,"=""0812545249""","=""9780812545241""",3,3.66,Tor Science Fiction,Mass Market Paperback,315,2002,2001,,2015/07/14,,,read,,,,,,,0,,,,,
223380,Stories of Your Life and Others,Ted Chiang,"Chiang, Ted",,"=""0330426648""","=""9780330426640""",4,4.27,Small Beer Press,ebook,281,2010,2002,,2015/07/14,,,read,,,,,,,0,,,,,
16278318,Armada,Ernest Cline,"Cline, Ernest",,"=""0804137250""","=""9780804137256""",2,3.49,Crown Publishing ,Hardcover,349,2015,2015,,2015/07/14,,,read,,,,,,,0,,,,,
17332218,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326361""","=""9780765326362""",2,4.76,Tor Books,Hardcover,1087,2014,2014,,2015/07/09,,,read,,,,,,,0,,,,,
7235533,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326353""","=""9780765326355""",2,4.64,Tor Books,Hardcover,1007,2010,2010,,2015/07/09,,,read,,,,,,,0,,,,,
17910048,The Goblin Emperor,Katherine Addison,"Addison, Katherine",,"=""076532699X""","=""9780765326997""",4,4.05,Tor Books,Hardcover,446,2014,2014,,2015/07/09,sff,sff (#9),read,,,,,,,0,,,,,
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377063""","=""9780765377067""",3,4.00,Tor Books,Hardcover,400,2014,2007,,2015/07/09,,,read,,,,,,,0,,,,,
8366402,The Tiger's Wife,Téa Obreht,"Obreht, Téa",,"=""0385343833""","=""9780385343831""",1,3.37,Random House,Hardcover,338,2011,2011,,2015/05/02,,,read,,,,,,,0,,,,,
779509,Precious Bane,Mary Webb,"Webb, Mary",,"=""0268015384""","=""9780268015381""",5,4.24,University of Notre Dame Press,Paperback,328,1990,1924,,2015/02/21,,,read,,,,,,,0,,,,,
444388,The Uses of Enchantment: The Meaning and Importance of Fairy Tales,Bruno Bettelheim,"Bettelheim, Bruno",,"=""0679723935""","=""9780679723936""",4,3.87,Vintage,Paperback,352,1977,1975,,2015/01/06,,,read,,,,,,,0,,,,,
6578461,In the President's Secret Service: Behind the Scenes with Agents in the Line of Fire and the Presidents They Protect,Ronald Kessler,"Kessler, Ronald",,"=""0307461351""","=""9780307461353""",2,3.33,Crown Forum,Hardcover,288,2009,2009,,2014/12/25,,,read,,,,,,,0,,,,,
49011,The Bloody Chamber and Other Stories,Angela Carter,"Carter, Angela",,"=""014017821X""","=""9780140178210""",3,4.02,Penguin Books,Paperback,128,1990,1979,,2014/12/25,,,read,,,,,,,0,,,,,
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",3,4.39,Crown,Hardcover,369,2014,2012,,2014/12/03,,,read,,,,,,,0,,,,,
20821159,The Peripheral,William Gibson,"Gibson, William",,"=""0399158448""","=""9780399158445""",3,3.94,Berkley,Hardcover,485,2014,2014,,2014/11/29,,,read,,,,,,,0,,,,,
6603887,Masters of Doom: How Two Guys Created an Empire and Transformed Pop Culture,David Kushner,"Kushner, David",,"=""""","=""""",0,4.24,,Kindle Edition,368,,2003,,2014/10/22,to-read,to-read (#20),to-read,,,,,,,0,,,,,
676913,Ink: The Not-Just-Skin-Deep Guide to Getting a Tattoo,Terisa Green,"Green, Terisa",,"=""0451215141""","=""9780451215147""",2,3.60,Berkley,Paperback,224,2005,2005,,2014/10/15,,,read,,,,,,,0,,,,,
9037443,Stories for Men: An Anthology,Charles Grayson,"Grayson, Charles",,"=""""","=""""",3,3.60,"Garden City Publishing Co., Inc.",Hardcover,496,1944,1944,,2014/10/15,,,read,,,,,,,0,,,,,
2393575,Nixonland: The Rise of a President and the Fracturing of America,Rick Perlstein,"Perlstein, Rick",,"=""0743243021""","=""9780743243025""",2,4.11,Scribner/Simon & Schuster (NYC),Hardcover,895,2008,2008,,2014/10/15,,,read,,,,,,,0,,,,,
1491906,Gang Leader for a Day: A Rogue Sociologist Takes to the Streets,Sudhir Venkatesh,"Venkatesh, Sudhir",,"=""1594201501""","=""9781594201509""",3,4.00,Penguin Press,Hardcover,302,2008,2008,,2014/10/15,,,read,,,,,,,0,,,,,
2184738,"Writing Life Stories: How to Make Memories Into Memoirs, Ideas Into Essays, and Life Into Literature",Bill Roorbach,"Roorbach, Bill",,"=""1582975272""","=""9781582975276""",0,3.98,Writer's Digest Books,Paperback,296,2008,1998,,2014/10/15,to-read,to-read (#19),to-read,,,,,,,0,,,,,
25019,"The Professor and the Madman: A Tale of Murder, Insanity and the Making of the Oxford English Dictionary",Simon Winchester,"Winchester, Simon",,"=""0060839783""","=""9780060839789""",0,3.84,Harper Perennial,Paperback,242,2005,1998,,2014/10/15,to-read,to-read (#18),to-read,,,,,,,0,,,,,
166990,The Solace of Open Spaces,Gretel Ehrlich,"Ehrlich, Gretel",,"=""0140081135""","=""9780140081138""",0,4.14,Penguin Books,Paperback,144,1986,1984,,2014/10/15,to-read,to-read (#17),to-read,,,,,,,0,,,,,
1576816,American Nerd: The Story of My People,Benjamin Nugent,"Nugent, Benjamin",,"=""0743288017""","=""9780743288019""",0,2.97,Scribner,Hardcover,240,2008,2007,,2014/10/15,to-read,to-read (#16),to-read,,,,,,,0,,,,,
7876300,Occultation and Other Stories,Laird Barron,"Barron, Laird",,"=""1597801925""","=""9781597801928""",3,4.09,Night Shade Books,Hardcover,245,2010,2010,,2014/10/11,,,read,,,,,,,0,,,,,
